campaign,instance,expected_result,sealed_structural,indexed_structural,python_reference_structural,sealed_registry,indexed_registry,sealed_checks,indexed_checks,sealed_boxes,indexed_boxes,indexed_final,cadical_result,kissat_result,witness_valid,newly_structural,contradicts_sealed,pre_registry_changed,passed
phase2,001_pigeonhole_exact1_noise0.cnf,UNSATISFIABLE,UNSAT,UNSAT,UNSAT,COMPLETE,COMPLETE,240,226,4,4,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,False,False,False,True
phase2,002_pigeonhole_exact1_noise50.cnf,UNSATISFIABLE,UNSAT,UNSAT,UNSAT,COMPLETE,COMPLETE,248,226,4,4,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,False,False,False,True
phase2,003_pigeonhole_exact1_noise100.cnf,UNSATISFIABLE,UNSAT,UNSAT,UNSAT,COMPLETE,COMPLETE,448,228,4,4,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,False,False,False,True
phase2,004_pigeonhole_exact1_noise200.cnf,UNSATISFIABLE,UNSAT,UNSAT,UNSAT,COMPLETE,COMPLETE,557,228,4,4,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,False,False,False,True
phase2,005_exact_r_allocation_noise0.cnf,UNSATISFIABLE,UNSAT,UNSAT,UNSAT,COMPLETE,COMPLETE,2070,270,3,3,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,False,False,False,True
phase2,006_exact_r_allocation_noise50.cnf,UNSATISFIABLE,UNSAT,UNSAT,UNSAT,COMPLETE,COMPLETE,2223,270,3,3,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,False,False,False,True
phase2,007_exact_r_allocation_noise100.cnf,UNSATISFIABLE,UNSAT,UNSAT,UNSAT,COMPLETE,COMPLETE,2722,274,3,3,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,False,False,False,True
phase2,008_exact_r_allocation_noise200.cnf,UNSATISFIABLE,UNSAT,UNSAT,UNSAT,COMPLETE,COMPLETE,3259,272,3,3,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,False,False,False,True
phase2,009_bipartite_matching_noise0.cnf,SATISFIABLE,FEASIBLE,FEASIBLE,FEASIBLE,COMPLETE,COMPLETE,56,16,4,4,SATISFIABLE,SATISFIABLE,SATISFIABLE,,False,False,False,True
phase2,010_bipartite_matching_noise50.cnf,SATISFIABLE,FEASIBLE,FEASIBLE,FEASIBLE,COMPLETE,COMPLETE,87,16,4,4,SATISFIABLE,SATISFIABLE,SATISFIABLE,,False,False,False,True
